x y S
3963.7996946753115 -312.1020198021228 0
0.0 0.0 36
0.0 0.0 99
0.0 0.0 54
0.0 0.0 9
3212.29465483977 976.4240583052156 43
0.0 0.0 55
0.0 0.0 3
0.0 0.0 87
0.0 0.0 92
3249.1688791545894 137.42318616086362 17
3430.4224249886297 630.8143533491356 12
3070.1832690247393 103.95573465661997 94
3073.330032346563 62.35630170053693 13
3461.4518342108586 140.34837030101176 36
3852.1525316515213 -298.37813974512454 73
0.0 0.0 66
0.0 0.0 37
0.0 0.0 44
3898.3192529691287 -467.7791675850978 48
3429.2172082594357 -190.6798792554652 26
3943.1664194100977 -76.14923700172153 70
3255.917137770584 41.36372463806782 91
3323.20456436813 -531.0115250123447 42
3376.7479784217935 -520.4850979293561 7
3939.8743401073066 -723.0163901955852 28
0.0 0.0 62
0.0 0.0 19
0.0 0.0 14
2492.3313806686942 2389.0439256006202 76
2648.0319848323834 2351.5112744995886 28
3109.992239940894 1994.904650580321 93
0.0 0.0 91
0.0 0.0 68
2541.6249197998186 2297.534095662722 94
0.0 0.0 20
0.0 0.0 22
0.0 0.0 81
0.0 0.0 72
2491.806613728442 2273.1668463378473 21
2477.295897304929 1934.019309798631 14
0.0 0.0 70
2417.595763131075 1579.1998718807074 32
2510.6489078368595 1573.816168555939 92
2982.7491619912867 1058.2253044507863 76
0.0 0.0 23
0.0 0.0 84
2407.581308314 1569.497346534891 57
0.0 0.0 52
0.0 0.0 55
2873.6087471712112 1620.548424073162 91
2153.7328655651245 814.8263207986066 94
0.0 0.0 75
2168.984917370187 764.1918888412919 68
2535.3133517560736 866.7107968444532 21
2658.527567791007 872.7135752478814 81
2988.380068180104 696.3185649525295 41
3133.491052588226 232.3696179965503 40
0.0 0.0 40
0.0 0.0 4
0.0 0.0 91
2189.334950137384 728.5989822780837 42
2974.3579061645855 134.30742312167854 39
2717.0622139861944 156.88124416175802 66
0.0 0.0 26
3017.7909701273206 581.5844675408842 68
0.0 0.0 48
